Opportunity__c,Name,AccountId,Ownership__c,Annual_Hours__c
0061G00000OLkg1QAD,GASR,001OF00000IiTX3YAN,0.09,25
0061G00000NtYFiQAN,FSFP,001OF00000IhzM4YAJ,0.03125,25
0061G00000Ntko7QAB,FSFS,001OF00000IdyEuYAJ,0.03125,25
0061G00000NuieMQAR,FLAS,001OF00000IhzM4YAJ,0.015,25
006OF00000CVqoDYAT,FSFP,001OF00000Ip5kvYAB,0.015,12.5
0061G00000NtM8fQAF,FSFS,001OF00000IfKIFYA3,0.015,37.5
0061G00000PMHF6QAP,FASY,001OF00000IfWg4YAF,0.03125,12.5
0061G00000NtnRTQAZ,FSFS,001OF00000Ioq13YAB,0.03125,37.5
0061G00000NtrHzQAJ,GASE,001OF00000IVUNgYAP,0.03125,25
0061G00000ONPyFQAX,FSNP,001OF00000INEPhYAP,0.03125,25
0061G00000NtslWQAR,FSFS,001OF00000IVUNgYAP,0.03125,25
,FSRX,001OF00000IdyEuYAJ,0.03125,75
0061G00000Nu27pQAB,FASV,001OF00000JQeDQYA1,0.015,75
0061G00000Nu8nKQAR,GBAS,001OF00000IfKIFYA3,0.015,50
0061G00000NuGkzQAF,GBAS,001OF00000IdyEuYAJ,0.015,25
,GASE,001OF00000IhzM4YAJ,0.03125,75
,GASW,001OF00000IsolUYAR,0.03125,25
0061G00000NtPpgQAF,GASE,001OF00000IkAtGYAV,0.03125,75
006OF00000B4ANRYA3,FSDN,001OF00000IsolUYAR,0.09,25
006OF00000IEOeUYAX,FSRY,001OF00000IiTX3YAN,0.012,25
006OF00000IEOeUYAX,GFFS,001OF00000IVUNgYAP,0.012,25
0061G00000Ql0LOQAZ,FSNP,001OF00000IhzM4YAJ,0.015,25
0061G00000NuiapQAB,GBAS,001OF00000JQeDQYA1,0.015,25
0061G00000NumGGQAZ,FSFS,001OF00000IkA5HYAV,0.03125,25
0061G00000OgYqnQAF,FASQ,001OF00000INEPhYAP,0.09,50
0061G00000Nv0jHQAR,GAAS,001OF00000IsolUYAR,0.09,25
0061G00000Nv1F8QAJ,FASW,001OF00000IhzM4YAJ,0.09,25
0061G00000NucA7QAJ,GBAS,001OF00000ImOlgYAF,0.09,12.5
0061G00000OLMqbQAH,GBAS,001OF00000Ip5kvYAB,0.03125,12.5
,GFSX,001OF00000IdyEuYAJ,0.03125,25
,FSBR,001OF00000IdyEuYAJ,0.015,25
0061G00000NvDTaQAN,FSBR,001OF00000IkAtGYAV,0.015,75
006Ho00000SKlMRIA1,FSBR,001OF00000IMTqfYAH,0.015,25
0061G00000NvJgZQAV,FASY,001OF00000JN4nzYAD,0.015,25
0061G00000NvLaGQAV,GBAS,001OF00000IkA5HYAV,0.09,25
0061G00000Nt5hbQAB,GBAS,001OF00000IMTqfYAH,0.03125,50
006OF00000Ix8VTYAZ,FASQ,0011G00000vibZ3QAI,0.03125,25
0061G00000NvUIkQAN,GZAS,001OF00000JQeDQYA1,0.03125,25
0061G00000NtxziQAB,FSFS,001OF00000IfWg4YAF,0.03125,25
0061G00000Nvb0qQAB,FJAS,001OF00000IGTLUYA5,0.03125,25
